time,open,high,low,close,tick_volume,spread,real_volume
2012-03-27,1.3354300000000001,1.3384800000000001,1.3312599999999999,1.33205,66017,5,0
2012-03-28,1.33205,1.3372,1.3277,1.3315299999999999,72132,5,0
2012-03-29,1.33155,1.33449,1.32518,1.33026,71317,5,0
2012-03-30,1.33025,1.33755,1.33007,1.33408,66608,5,0
2012-04-01,1.33562,1.33757,1.33559,1.33716,2042,13,0
2012-04-02,1.33716,1.33801,1.32781,1.33249,66960,5,0
2012-04-03,1.3325,1.3367,1.32128,1.32229,75895,5,0
2012-04-04,1.3222800000000001,1.3233,1.3106900000000001,1.3143,78759,5,0
2012-04-05,1.3143,1.31636,1.30346,1.30633,70476,5,0
2012-04-06,1.3063,1.31115,1.30506,1.30911,39288,5,0
2012-04-08,1.30961,1.30965,1.3066200000000001,1.30687,2151,13,0
2012-04-09,1.30688,1.3133,1.3033000000000001,1.3112599999999999,48195,5,0
2012-04-10,1.31124,1.31436,1.30538,1.30792,79346,5,0
2012-04-11,1.30793,1.31564,1.30659,1.3117,74954,5,0
2012-04-12,1.31169,1.32122,1.31018,1.31822,76909,5,0
2012-04-13,1.31823,1.32001,1.30691,1.3076400000000001,71721,5,0
2012-04-15,1.3069,1.30736,1.30563,1.30685,1887,12,0
2012-04-16,1.30685,1.31466,1.29945,1.3134000000000001,81760,5,0
2012-04-17,1.31341,1.31717,1.30899,1.31235,73872,5,0
2012-04-18,1.31238,1.31402,1.3057699999999999,1.31207,75446,5,0
2012-04-19,1.3121,1.3164799999999999,1.30697,1.3142800000000001,79127,5,0
2012-04-20,1.31429,1.3226200000000001,1.31284,1.3216999999999999,68733,5,0
2012-04-22,1.3192,1.32035,1.31903,1.32006,1640,12,0
2012-04-23,1.32007,1.32098,1.31042,1.31536,68196,5,0
2012-04-24,1.31538,1.3217400000000001,1.31445,1.31975,69182,5,0
2012-04-25,1.31975,1.32356,1.3173,1.322,71470,5,0
2012-04-26,1.322,1.32623,1.31763,1.31806,72162,5,0
2012-04-27,1.31807,1.32695,1.31572,1.32514,70939,5,0
2012-04-29,1.32408,1.32458,1.32368,1.32386,1456,12,0
2012-04-30,1.32385,1.3266,1.32078,1.32417,62571,5,0
2012-05-01,1.32417,1.32828,1.32039,1.32355,50354,5,0
2012-05-02,1.32356,1.32401,1.3123,1.31543,68430,5,0
2012-05-03,1.31541,1.31795,1.30963,1.3148900000000001,62178,5,0
2012-05-04,1.3149,1.31775,1.30799,1.30832,61463,5,0
2012-05-06,1.3024499999999999,1.30268,1.29546,1.29856,5211,13,0
2012-05-07,1.29857,1.30645,1.29607,1.30565,72294,5,0
2012-05-08,1.30564,1.30612,1.29821,1.29916,78726,5,0
2012-05-09,1.29915,1.30026,1.2911000000000001,1.29359,85220,5,0
2012-05-10,1.29361,1.29783,1.29244,1.29352,77130,5,0
2012-05-11,1.29353,1.29569,1.29044,1.29162,73108,5,0
2012-05-13,1.28872,1.28977,1.28829,1.28938,2266,12,0
2012-05-14,1.28935,1.29038,1.28149,1.28285,71533,5,0
2012-05-15,1.28284,1.28689,1.27215,1.27325,73284,5,0
2012-05-16,1.27324,1.27579,1.26807,1.27215,81353,5,0
2012-05-17,1.27216,1.27488,1.2664900000000001,1.26942,79105,5,0
2012-05-18,1.26941,1.27933,1.26417,1.27783,82804,5,0
2012-05-20,1.27767,1.2777,1.2753999999999999,1.2755,2435,12,0
2012-05-21,1.27549,1.2823,1.27248,1.28103,81077,5,0
2012-05-22,1.28103,1.28139,1.26575,1.26768,82254,5,0
2012-05-23,1.26768,1.26858,1.25449,1.2594,94822,5,0
2012-05-24,1.25941,1.2618800000000001,1.25156,1.25365,92416,5,0
2012-05-25,1.2536399999999999,1.2601499999999999,1.24964,1.25153,78728,5,0
2012-05-27,1.2570700000000001,1.25788,1.25657,1.25755,2431,12,0
2012-05-28,1.25756,1.26235,1.25244,1.25386,64765,5,0
2012-05-29,1.25385,1.2574,1.24609,1.24774,87203,5,0
2012-05-30,1.24774,1.24864,1.23605,1.23664,91522,5,0
2012-05-31,1.23663,1.24278,1.23362,1.23629,89721,5,0
2012-06-01,1.23634,1.24537,1.22882,1.24325,94116,5,0
2012-06-03,1.24371,1.24371,1.24126,1.24196,2962,12,0
2012-06-04,1.24199,1.25087,1.23854,1.25033,80002,5,0
2012-06-05,1.25038,1.25411,1.24099,1.24505,82973,5,0
2012-06-06,1.24506,1.25848,1.24404,1.25735,92249,5,0
2012-06-07,1.2572999999999999,1.26243,1.25397,1.25674,89644,5,0
2012-06-08,1.2567300000000001,1.25742,1.24352,1.2516,88991,5,0
2012-06-10,1.26478,1.26677,1.2635,1.26358,3348,12,0
2012-06-11,1.26359,1.2649,1.24503,1.24657,88747,5,0
2012-06-12,1.24659,1.2528000000000001,1.24423,1.2513,88866,5,0
2012-06-13,1.25131,1.26094,1.24733,1.25699,90098,5,0
2012-06-14,1.25701,1.2635399999999999,1.25419,1.26239,87106,5,0
2012-06-15,1.26238,1.26643,1.25919,1.26361,79530,5,0
2012-06-17,1.27371,1.27468,1.27143,1.27152,3955,13,0
2012-06-18,1.27155,1.27268,1.25569,1.2581,90706,5,0
2012-06-19,1.25813,1.27297,1.25682,1.26865,88309,5,0
2012-06-20,1.2686600000000001,1.2741799999999999,1.2638099999999999,1.26907,89321,5,0
2012-06-21,1.26907,1.26983,1.25317,1.25451,91892,5,0
2012-06-22,1.2545,1.25827,1.25191,1.25677,74923,5,0
2012-06-24,1.2554400000000001,1.25575,1.25358,1.25385,1638,12,0
2012-06-25,1.25386,1.2544,1.2471,1.25015,72071,5,0
2012-06-26,1.25014,1.25298,1.24419,1.24897,82958,5,0
2012-06-27,1.24896,1.25074,1.24454,1.24731,77427,5,0
2012-06-28,1.2473,1.25236,1.24071,1.24457,88418,5,0
2012-06-29,1.2445599999999999,1.26918,1.24331,1.26655,97911,5,0
2012-07-01,1.26696,1.26703,1.2652999999999999,1.2655699999999999,1763,50,0
2012-07-02,1.26556,1.26669,1.2568,1.25838,74536,5,0
2012-07-03,1.25837,1.26257,1.2558799999999999,1.26041,72340,5,0
